Size, Type, Time
100, "Sequential", 0.000009
100, "Parallel", 0.003740
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003500
100, "Built-in", 0.000023
100, "Sequential", 0.000009
100, "Parallel", 0.003632
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.002999
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.003582
100, "Built-in", 0.000022
1000, "Sequential", 0.000121
1000, "Parallel", 0.015189
1000, "Built-in", 0.000133
1000, "Sequential", 0.000115
1000, "Parallel", 0.020486
1000, "Built-in", 0.000124
1000, "Sequential", 0.000115
1000, "Parallel", 0.019474
1000, "Built-in", 0.000127
1000, "Sequential", 0.000119
1000, "Parallel", 0.020241
1000, "Built-in", 0.000311
1000, "Sequential", 0.000117
1000, "Parallel", 0.011886
1000, "Built-in", 0.000135
10000, "Sequential", 0.001353
10000, "Parallel", 0.047481
10000, "Built-in", 0.001408
10000, "Sequential", 0.001360
10000, "Parallel", 0.049353
10000, "Built-in", 0.001408
10000, "Sequential", 0.001352
10000, "Parallel", 0.045111
10000, "Built-in", 0.001405
10000, "Sequential", 0.001354
10000, "Parallel", 0.036901
10000, "Built-in", 0.001409
10000, "Sequential", 0.001354
10000, "Parallel", 0.045750
10000, "Built-in", 0.001407
100000, "Sequential", 0.017169
100000, "Parallel", 0.075454
100000, "Built-in", 0.065085
100000, "Sequential", 0.018312
100000, "Parallel", 0.073786
100000, "Built-in", 0.021679
100000, "Sequential", 0.021386
100000, "Parallel", 0.080356
100000, "Built-in", 0.017569
100000, "Sequential", 0.016798
100000, "Parallel", 0.054782
100000, "Built-in", 0.017607
100000, "Sequential", 0.016831
100000, "Parallel", 0.070508
100000, "Built-in", 0.060684
1000000, "Sequential", 0.233201
1000000, "Parallel", 0.077114
1000000, "Built-in", 0.257761
1000000, "Sequential", 0.230850
1000000, "Parallel", 0.092064
1000000, "Built-in", 0.280884
1000000, "Sequential", 0.201739
1000000, "Parallel", 0.084721
1000000, "Built-in", 0.315539
1000000, "Sequential", 0.263101
1000000, "Parallel", 0.082638
1000000, "Built-in", 0.285182
1000000, "Sequential", 0.262388
1000000, "Parallel", 0.086758
1000000, "Built-in", 0.238644
